url_core,N_url,N,rel_party,insularity_party,insularity_media
twitter,80840,802,0.25379746835443,0.479680258107938,0.130494793442063
rassemblementnational,219,217,0.0686708860759494,0.999553830492297,0.999111229863801
lefigaro,4142,145,0.0458860759493671,0.567052756019168,0.302899896539891
over-blog,571,135,0.0427215189873418,0.832682619991169,0.713655412764911
valeursactuelles,452,125,0.0395569620253165,0.850745723906527,0.734788234526168
francetvinfo,4416,113,0.0357594936708861,0.530955880694348,0.0950827007432755
ouillade,118,102,0.0322784810126582,0.998041338409362,0.996150535011679
facebook,26828,97,0.0306962025316456,0.118295608399053,0.247919004033368
youtube,8212,95,0.0300632911392405,0.345348353357354,0.192600230878489
lavoixdunord,714,94,0.029746835443038,0.726540514260163,0.411887100055141
bfmtv,2015,79,0.025,0.57588575798859,0.143082875379913
frontnational,75,75,0.0237341772151899,1,1
leparisien,3899,63,0.0199367088607595,0.491429296746805,0.188869521740991
lemonde,5810,57,0.0180379746835443,0.374432786784334,0.198834099560039
lepoint,1407,53,0.0167721518987342,0.582530573045725,0.306406867131104
lindependant,275,51,0.0161392405063291,0.88693776892235,0.746547665708228
actu17,78,37,0.0117088607594937,0.94794881055194,0.880739763128154
marianne,398,29,0.00917721518987342,0.605360224562268,0.298003559075331
20minutes,748,28,0.00886075949367089,0.586429671798504,0.224732329837897
rtl,611,25,0.00791139240506329,0.585620738596821,0.19980706194956
ouest-france,2543,24,0.00759493670886076,0.37209888346671,0.246763426558524
europe1,1166,22,0.0069620253164557,0.518183087157409,0.11767379278175
francebleu,1389,22,0.0069620253164557,0.511398700956149,0.154373340189481
lopinion,914,22,0.0069620253164557,0.549662964195648,0.335344699182385
assemblee-nationale,5126,21,0.00664556962025316,0.188507869114223,0.16178576693718
cnews,355,21,0.00664556962025316,0.592701393413196,0.305282935521431
lexpress,620,21,0.00664556962025316,0.566334043649074,0.180223496646797
huffingtonpost,1490,19,0.0060126582278481,0.279269939640367,0.263539413611117
lesechos,2343,19,0.0060126582278481,0.500202396213882,0.177054023330533
lejdd,1861,17,0.00537974683544304,0.405024295358951,0.126309024236989
atlantico,111,17,0.00537974683544304,0.74587457904923,0.602440754973392
liberation,2035,16,0.00506329113924051,0.252076810490054,0.277712743734871
parismatch,214,13,0.00411392405063291,0.616809365882569,0.279215420423018
politiquemedia,251,12,0.00379746835443038,0.596288436416669,0.332723887300774
capital,264,11,0.00348101265822785,0.578744635343791,0.166408967667708
lci,482,11,0.00348101265822785,0.520970252865121,0.143355120727989
bit,914,11,0.00348101265822785,0.514995041443374,0.288383951386165
vdn,200,10,0.00316455696202532,0.566713388308155,0.424342242130289
pscp,3386,9,0.00284810126582279,0.18383073628832,0.359493269881052
google,689,9,0.00284810126582279,0.503978414072629,0.174264971993449
lcp,1135,9,0.00284810126582279,0.225084960922238,0.226933786127326
dailymotion,896,8,0.00253164556962025,0.245059205785567,0.359351564213177
nouvelobs,890,8,0.00253164556962025,0.323167020359016,0.117744279751369
ladepeche,1134,8,0.00253164556962025,0.271680020553532,0.489873607539178
causeur,42,8,0.00253164556962025,0.819588268354845,0.731615119168111
lavenirdelartois,10,8,0.00253164556962025,0.981832304485827,0.958704692108614
madeinperpignan,13,7,0.00221518987341772,0.9621109088196,0.933547553510162
le-journal-catalan,15,7,0.00221518987341772,0.939761122235372,0.909905128098784
latribune,488,6,0.00189873417721519,0.501613669532315,0.149030431508477
france,165,6,0.00189873417721519,0.562629356149008,0.305992947638892
midilibre,465,6,0.00189873417721519,0.564375334078537,0.433061302684289
rt,31,6,0.00189873417721519,0.727130855003445,0.532978886824197
adhesions-rn,7,6,0.00189873417721519,0.99204205166714,0.985147837976414
franceinter,642,5,0.00158227848101266,0.306470442853577,0.125623631067709
ledauphine,267,5,0.00158227848101266,0.54659427459095,0.339643849512767
calameo,179,5,0.00158227848101266,0.535443602617217,0.463692663443364
sudradio,118,5,0.00158227848101266,0.584698479807604,0.28622670286222
yahoo,97,5,0.00158227848101266,0.595350579459555,0.283916039862532
la-croix,479,5,0.00158227848101266,0.454740795235362,0.222438024522777
orange,132,5,0.00158227848101266,0.543078696230715,0.332875939288157
lequotidiendumedecin,50,5,0.00158227848101266,0.688689926193023,0.554475429239661
deputes-fn,5,5,0.00158227848101266,1,1
bvoltaire,16,5,0.00158227848101266,0.886650032938785,0.840509709926289
france-police,5,5,0.00158227848101266,1,1
littoralfm,5,5,0.00158227848101266,1,1
interieur,392,4,0.00126582278481013,0.385714018344843,0.240256311055002
alertedemocratie,4,4,0.00126582278481013,1,1
sputniknews,16,4,0.00126582278481013,0.822841441015301,0.714022440344002
policeetrealites,4,4,0.00126582278481013,1,1
po,716,3,0.000949367088607595,0.269449031022594,0.389918238242663
sudouest,945,3,0.000949367088607595,0.193970251716266,0.361151109634211
actu,799,3,0.000949367088607595,0.1267909851003,0.356490143453985
boursorama,108,3,0.000949367088607595,0.542484297351138,0.133721697260387
michelonfray,7,3,0.000949367088607595,0.94297291017332,0.885705252852491
lagazettedescommunes,120,3,0.000949367088607595,0.539150798773764,0.30105205717755
legorafi,29,3,0.000949367088607595,0.709987396737777,0.493719279052903
nordeclair,101,3,0.000949367088607595,0.595714189707217,0.528003055798199
wmaker,116,3,0.000949367088607595,0.621202663237654,0.402179086429869
i24news,28,3,0.000949367088607595,0.563764767308599,0.64027196118183
lepotcommun,7,3,0.000949367088607595,0.886460096900975,0.832902260907413
dailynord,6,3,0.000949367088607595,0.976541497417183,0.948054561987188
eur1,21,3,0.000949367088607595,0.659560494471478,0.70452531688517
actupenit,4,3,0.000949367088607595,0.99585445264702,0.992007119090707
defendre-la-defense,3,3,0.000949367088607595,1,1
id-france,3,3,0.000949367088607595,1,1
ludovicpajot,3,3,0.000949367088607595,1,1
picardienordpasdecalais,3,3,0.000949367088607595,1,1
fnmunicipales,3,3,0.000949367088607595,1,1
challenges,454,2,0.000632911392405063,0.295557561502334,0.183213728254998
